,Company ID,Industry
0,29023961,it services and it consulting
1,1313464,staffing and recruiting
2,223447,software development
3,67539665,software development
4,2388,financial services
5,13038716,software development
6,52358,software development
7,33202713,it services and it consulting
8,75051422,education
9,165530,public relations and communications services
10,282783,software development
11,851701,defense and space manufacturing
12,5341247,it services and it consulting
13,763137,staffing and recruiting
14,14865971,business consulting and services
15,27069,staffing and recruiting
16,2522658,software development
17,675060,staffing and recruiting
18,29352,software development
19,8582,government administration
20,14825821,software development
21,1720188,it services and it consulting
22,18258498,"transportation, logistics, supply chain and storage"
23,101122,insurance
24,499651,financial services
25,464332,oil and gas
26,329126,staffing and recruiting
27,653444,it services and it consulting
28,69792,international trade and development
29,674756,manufacturing
30,947715,it services and it consulting
31,81563061,"technology, information and media"
32,437225,retail
33,2209384,hospitals
34,2722,semiconductor manufacturing
35,2456313,it services and it consulting
36,2674915,software development
37,252854,staffing and recruiting
38,33450894,computers and electronics manufacturing
39,165879,software development
40,5173,industrial machinery manufacturing
41,7680,non-profit organizations
42,69495225,entertainment providers
43,5098213,it services and it consulting
44,317870,it services and it consulting
45,5780,telecommunications
46,429692,business consulting and services
47,2358843,it services and it consulting
48,31352,religious institutions
49,2576652,"technology, information and internet"
50,18138426,it services and it consulting
51,2579149,advertising services
52,4868857,civil engineering
53,242665,software development
54,2341258,home health care services
55,364800,telecommunications
56,778448,software development
57,86231,civil engineering
58,5398600,staffing and recruiting
59,102466488,"technology, information and media"
60,22012,it services and it consulting
61,4928,consumer services
62,15251574,retail
63,665038,it services and it consulting
64,162930,it services and it consulting
65,361096,insurance
66,157261,medical equipment manufacturing
67,2730447,spectator sports
68,7655,chemical manufacturing
69,96280,software development
70,9217959,staffing and recruiting
71,231770,food and beverage services
72,27108,staffing and recruiting
73,2719,telecommunications
74,4764,financial services
75,91484449,it services and it consulting
76,10122,staffing and recruiting
77,1517725,financial services
78,15156176,staffing and recruiting
79,1003064,staffing and recruiting
80,164002,business consulting and services
81,14649432,staffing and recruiting
82,84997,it services and it consulting
83,26359,telecommunications
84,2815,hospitality
85,26487411,it services and it consulting
86,3589,retail
87,4559,it services and it consulting
88,20695,banking
89,75644657,it services and it consulting
90,34645398,staffing and recruiting
91,2270803,travel arrangements
92,2645,telecommunications
93,4341454,it services and it consulting
94,896415,insurance
95,16750,biotechnology research
96,8621,insurance
97,16811,telecommunications
98,15606,it services and it consulting
99,3830959,staffing and recruiting
100,11754526,software development
101,3838955,staffing and recruiting
102,91540537,software development
103,40674577,financial services
104,1805453,advertising services
105,879360,machinery manufacturing
106,18125,software development
107,580619,information services
108,3235,pharmaceutical manufacturing
109,71937956,higher education
110,92309,it services and it consulting
111,14123019,it services and it consulting
112,3267,software development
113,5245319,"transportation, logistics, supply chain and storage"
114,4032696,retail
115,1612465,staffing and recruiting
116,18146724,advertising services
117,69861,telecommunications
118,3696894,it services and it consulting
119,8370,telecommunications
120,10662210,"technology, information and internet"
121,166331,motor vehicle manufacturing
122,1932680,accounting
123,162359,airlines and aviation
124,84287828,staffing and recruiting
125,33589,advertising services
126,65647,staffing and recruiting
127,33349,software development
128,1319,defense and space manufacturing
129,97973,software development
130,11848,staffing and recruiting
131,106291,education
132,23356,oil and gas
133,4127,it services and it consulting
134,55895,computer and network security
135,237976,staffing and recruiting
136,288851,packaging and containers manufacturing
137,13195602,civil engineering
138,3695,financial services
139,56195,oil and gas
140,1466,software development
141,604870,retail
142,2866239,business consulting and services
143,67662,it services and it consulting
144,1769571,financial services
145,69532698,staffing and recruiting
146,35686293,software development
147,71985414,human resources services
148,74732757,advertising services
149,13851,it services and it consulting
150,97661,staffing and recruiting
151,3018,advertising services
152,10221834,software development
153,93380834,it services and it consulting
154,2785,banking
155,5311,software development
156,9596847,retail
157,14507229,it services and it consulting
158,4207,financial services
159,4030,computers and electronics manufacturing
160,167686,software development
161,71413403,motor vehicle manufacturing
162,2441,airlines and aviation
163,5097,entertainment providers
164,2663015,software development
165,84558714,staffing and recruiting
166,73059,manufacturing
167,86854745,it services and it consulting
168,19045585,it services and it consulting
169,2081,entertainment providers
170,28722699,internet marketplace platforms
171,2261168,telecommunications
172,31501818,software development
173,20708,software development
174,10527806,facilities services
175,78084718,human resources services
176,1555603,it services and it consulting
177,30729637,staffing and recruiting
178,2526913,staffing and recruiting
179,13268908,it services and it consulting
180,76501,beverage manufacturing
181,81898035,"technology, information and media"
182,91921,business consulting and services
183,12905733,software development
184,3858,software development
185,673806,non-profit organizations
186,2155,manufacturing
187,2753,industrial machinery manufacturing
188,966006,construction
189,7947,business consulting and services
190,314592,"technology, information and internet"
191,20290,investment management
192,89989,staffing and recruiting
193,76551293,it services and it consulting
194,157324,it services and it consulting
195,726096,staffing and recruiting
196,2628579,it services and it consulting
197,72520,hospitals
198,325609,it services and it consulting
199,13196542,it services and it consulting
200,75400542,it services and it consulting
201,11066685,non-profit organizations
202,974238,business consulting and services
203,3818200,staffing and recruiting
204,9483102,"technology, information and internet"
205,1711,software development
206,3034,hospitality
207,13370997,software development
208,96033194,it services and it consulting
209,3309352,financial services
210,3476,staffing and recruiting
211,12486,telecommunications
212,88513,staffing and recruiting
213,3780,it services and it consulting
214,429774,it services and it consulting
215,2740438,it services and it consulting
216,1600813,staffing and recruiting
217,39560,staffing and recruiting
218,75604946,software development
219,4433,staffing and recruiting
220,7926885,financial services
221,14403978,human resources services
222,6371,it services and it consulting
223,68485296,software development
224,2651649,staffing and recruiting
225,15086319,it services and it consulting
226,2204084,software development
227,31891715,business consulting and services
228,15230443,it services and it consulting
229,69909,telecommunications
230,15677,truck transportation
231,70877,non-profit organizations
232,5844,oil and gas
233,64594777,financial services
234,162845,software development
235,19240520,defense and space manufacturing
236,81415,it services and it consulting
237,136240,telecommunications
238,27853,software development
239,1399875,it services and it consulting
240,436843,non-profit organizations
241,712474,staffing and recruiting
242,10865178,construction
243,2287261,software development
244,157237,manufacturing
245,1018538,financial services
246,4823106,business consulting and services
247,281590,truck transportation
248,25736,software development
249,367779,staffing and recruiting
250,40652151,it services and it consulting
251,3642801,it services and it consulting
252,531269,software development
253,157303,banking
254,950939,manufacturing
255,2227389,pharmaceutical manufacturing
256,7601,oil and gas
257,229978,software development
258,6398442,retail
259,14593619,it services and it consulting
260,2758345,online audio and video media
261,459428,it services and it consulting
262,48562,software development
263,10888222,it services and it consulting
264,247459,higher education
265,56108,retail
266,2985733,it services and it consulting
267,4257,insurance
268,834294,business consulting and services
269,2651,government administration
270,1127701,it services and it consulting
271,74724776,information services
272,2372214,"technology, information and internet"
273,2219,it services and it consulting
274,208137,computers and electronics manufacturing
275,37491430,it services and it consulting
276,80099261,it services and it consulting
277,17995386,services for renewable energy
278,4861973,entertainment providers
279,53506228,staffing and recruiting
280,18947024,software development
281,3687,insurance
282,78585689,software development
283,148386,computer networking products
284,2312378,human resources services
285,1290308,architecture and planning
286,14437863,software development
287,10037324,human resources services
288,1681,staffing and recruiting
289,1674481,software development
290,14958,software development
291,26187171,data infrastructure and analytics
292,1642,pharmaceutical manufacturing
293,24776867,it services and it consulting
294,3025685,investment management
295,1491,software development
296,10807803,engineering services
297,80063983,staffing and recruiting
298,10299272,insurance
299,11417958,staffing and recruiting
300,4983875,professional training and coaching
301,891472,staffing and recruiting
302,928855,computer and network security
303,15319,environmental services
304,2288485,travel arrangements
305,24614,software development
306,5140,it services and it consulting
307,15191764,software development
308,22765,business consulting and services
309,165137,it services and it consulting
310,13202675,printing services
311,166839,staffing and recruiting
312,3309361,software development
313,65315277,it services and it consulting
314,9624,software development
315,9205538,it services and it consulting
316,11362392,staffing and recruiting
317,14460237,staffing and recruiting
318,7466,financial services
319,2810,defense and space manufacturing
320,201672,business consulting and services
321,14726,computer games
322,55375,financial services
323,80276391,human resources services
324,18777776,"technology, information and media"
325,132625,it services and it consulting
326,27244401,software development
327,1050512,"technology, information and internet"
328,2568439,staffing and recruiting
329,100955625,it services and it consulting
330,10536403,staffing and recruiting
331,65909538,human resources services
332,775714,financial services
333,329282,business consulting and services
334,5591,computer games
335,313551,computer and network security
336,775402,software development
337,2924449,it services and it consulting
338,2551046,software development
339,77980911,human resources services
340,9992,law practice
341,45294,staffing and recruiting
342,41949,printing services
343,2327,human resources services
344,6022197,staffing and recruiting
345,15678,"transportation, logistics, supply chain and storage"
346,546638,staffing and recruiting
347,31089441,software development
348,7299,software development
349,230495,it services and it consulting
350,9561,medical equipment manufacturing
351,1337,software development
352,40532,design services
353,11369,retail
354,17723,it services and it consulting
355,16101,it services and it consulting
356,163066,government administration
357,165621,it services and it consulting
358,2610793,it services and it consulting
359,284713,business consulting and services
360,35158,automation machinery manufacturing
361,55015,staffing and recruiting
362,26416,staffing and recruiting
363,18330168,information services
364,309031,it services and it consulting
365,10372244,it services and it consulting
366,2414,insurance
367,2623994,banking
368,3815031,it services and it consulting
369,546832,banking
370,7599998,real estate
371,165747,it services and it consulting
372,7463,utilities
373,10536896,business consulting and services
374,1293076,accounting
375,10501930,it services and it consulting
376,1051998,it services and it consulting
377,101524481,it services and it consulting
378,1491815,staffing and recruiting
379,33504,real estate
380,10026608,it services and it consulting
381,40862958,staffing and recruiting
382,88973486,it services and it consulting
383,82510625,it services and it consulting
384,34672,truck transportation
385,10276573,staffing and recruiting
386,12345,insurance
387,1214,financial services
388,164785,it services and it consulting
389,156190,it services and it consulting
390,166442,industrial machinery manufacturing
391,42852931,hospitals
392,70420,it services and it consulting
393,3143310,mining
394,3360257,retail
395,1762,broadcast media production and distribution
396,1464,software development
397,3501082,it system custom software development
398,55975,staffing and recruiting
399,18802834,it services and it consulting
400,96679363,"technology, information and internet"
401,10038344,staffing and recruiting
402,149641,staffing and recruiting
403,819218,biotechnology research
404,4037,financial services
405,1403,it services and it consulting
406,13211176,staffing and recruiting
407,9238938,pharmaceutical manufacturing
408,3115184,staffing and recruiting
409,409917,staffing and recruiting
410,315817,environmental services
411,6204032,book and periodical publishing
412,272666,hospitals
413,2358022,computer games
414,80668581,e-learning providers
415,14384654,it services and it consulting
416,731561,staffing and recruiting
417,6653394,it services and it consulting
418,94707,it services and it consulting
419,65279540,motor vehicle manufacturing
420,302489,oil and gas
421,1485446,it services and it consulting
422,1694,food and beverage services
423,70099120,software development
424,2446468,staffing and recruiting
425,18015117,software development
426,86912540,staffing and recruiting
427,64550438,it services and it consulting
428,1115,software development
429,50711,oil and gas
430,1235,financial services
431,16774,insurance
432,453855,non-profit organizations
433,14526953,it services and it consulting
434,53398816,"technology, information and internet"
435,14637214,hospitality
436,2808786,business consulting and services
437,25889,hospitals
438,2073870,it services and it consulting
439,18140676,government administration
440,346108,staffing and recruiting
441,76355560,hospitals
442,3494329,human resources services
443,45805,travel arrangements
444,250774,it services and it consulting
445,9423751,software development
446,9867,market research
447,75479765,it services and it consulting
448,5388626,it services and it consulting
449,5553,food and beverage manufacturing
450,118408,executive offices
451,2523312,equipment
452,141332,it services and it consulting
453,79688912,professional services
454,8097,retail
455,157338,non-profit organizations
456,9249599,staffing and recruiting
457,28690803,it services and it consulting
458,9091,business consulting and services
459,2017,telecommunications
460,1397,semiconductor manufacturing
461,3549,hospitality
462,11865498,software development
463,68814523,"technology, information and internet"
464,37520,staffing and recruiting
465,165646,manufacturing
466,246085,staffing and recruiting
467,3120422,it services and it consulting
468,2934678,it services and it consulting
469,1038,business consulting and services
470,6893,insurance
471,14445,"transportation, logistics, supply chain and storage"
472,3232496,software development
473,1284095,advertising services
474,2552826,staffing and recruiting
475,19530,e-learning providers
476,8011,software development
477,22803,software development
478,404211,it services and it consulting
479,15228323,staffing and recruiting
480,3520250,computer and network security
481,35939692,advertising services
482,2349554,medical practices
483,9206985,medical equipment manufacturing
484,79586018,staffing and recruiting
485,14033758,media production
486,2736952,telecommunications
487,232328,staffing and recruiting
488,923423,software development
489,15082,software development
490,325130,"technology, information and internet"
491,1106832,staffing and recruiting
492,10013,staffing and recruiting
493,42437869,"technology, information and internet"
494,1608757,"technology, information and internet"
495,21270,it services and it consulting
496,1947374,it services and it consulting
497,1389,oil and gas
498,624626,advertising services
499,233024,oil and gas
500,6369,it services and it consulting
501,631591,computers and electronics manufacturing
502,3982,software development
503,14484385,it services and it consulting
504,2810409,entertainment providers
505,22582874,it services and it consulting
506,33125878,it services and it consulting
507,165755,software development
508,10270345,construction
509,79098,staffing and recruiting
510,59998,telecommunications
511,14535397,it services and it consulting
512,855135,advertising services
513,27111509,it system custom software development
514,7850,software development
515,6419,computers and electronics manufacturing
516,2452562,oil and gas
517,18008436,public safety
518,14015617,motor vehicle manufacturing
519,13489,it services and it consulting
520,930889,staffing and recruiting
521,1392051,staffing and recruiting
522,3374393,professional training and coaching
523,5047,industrial machinery manufacturing
524,3652724,software development
525,94795476,it services and it consulting
526,7584467,software development
527,10448,oil and gas
528,1636,telecommunications
529,79301,software development
530,662718,it services and it consulting
531,162787,motor vehicle manufacturing
532,3344374,media production
533,2437,banking
534,76377134,it services and it consulting
535,2793691,"technology, information and internet"
536,2206794,staffing and recruiting
537,11152363,staffing and recruiting
538,2806061,it services and it consulting
539,67218666,staffing and recruiting
540,10382672,it services and it consulting
541,15762,architecture and planning
542,19762,utilities
543,93244281,interior design
544,2232373,it services and it consulting
545,147120,software development
546,2155632,staffing and recruiting
547,10015663,biotechnology research
548,3181342,it services and it consulting
549,15931,software development
550,20304,consumer services
551,1134650,it services and it consulting
552,221815,staffing and recruiting
553,10877408,banking
554,74261757,it services and it consulting
555,11518,telecommunications
556,1001240,advertising services
557,296699,staffing and recruiting
558,698595,software development
559,1113019,staffing and recruiting
560,1987150,gambling facilities and casinos
561,915922,software development
562,3118347,staffing and recruiting
563,82077063,it services and it consulting
564,12650278,staffing and recruiting
565,1905,it services and it consulting
566,2196058,it services and it consulting
567,9197720,banking
568,35888761,financial services
569,10377818,it services and it consulting
570,40538,capital markets
571,5107,semiconductor manufacturing
572,2380,airlines and aviation
573,30167,design services
574,1022257,human resources services
575,1082012,construction
576,417618,it services and it consulting
577,6403390,it services and it consulting
578,3492935,it services and it consulting
579,30582579,staffing and recruiting
580,4205,construction
581,1701810,software development
582,5596,food and beverage services
583,6243,it services and it consulting
584,5708,chemical manufacturing
585,19057123,motor vehicle manufacturing
586,8869,semiconductor manufacturing
587,6374991,telecommunications
588,1382,financial services
589,15815310,financial services
590,1229260,software development
591,61592,"transportation, logistics, supply chain and storage"
592,735025,software development
593,18945266,it services and it consulting
594,11662,insurance
595,3379,retail
596,2738312,staffing and recruiting
597,448330,retail
598,2654920,software development
599,9360,banking
600,1932733,human resources services
601,69139,it services and it consulting
602,3175130,software development
603,1344410,it services and it consulting
604,71309497,travel arrangements
605,216295,software development
606,20466,book and periodical publishing
607,68827517,pharmaceutical manufacturing
608,318540,biotechnology research
609,7075,retail
610,3035,hospitality
611,242230,it services and it consulting
612,206776,staffing and recruiting
613,1011035,staffing and recruiting
614,2254994,staffing and recruiting
615,252737,"technology, information and internet"
616,5466,chemical manufacturing
617,2804770,software development
618,3265945,software development
619,10096730,"technology, information and internet"
620,68673699,it services and it consulting
621,6282,it services and it consulting
622,164562,software development
623,743440,manufacturing
624,11112004,hospitals
625,30490,construction
626,11158460,it services and it consulting
627,11510,information services
628,11204,construction
629,11494547,business consulting and services
630,1379045,it services and it consulting
631,6587389,it services and it consulting
632,14485505,it services and it consulting
633,17900423,staffing and recruiting
634,125583,it services and it consulting
635,368900,staffing and recruiting
636,9300662,it services and it consulting
637,658084,hospitals
638,4517,media production
639,2457,software development
640,9286,insurance
641,27114637,human resources services
642,96382480,software development
643,79164791,software development
644,162891,banking
645,6755,government administration
646,99066074,investment management
647,9441436,retail
648,13406,it services and it consulting
649,89731,telecommunications
650,218834,staffing and recruiting
651,3240985,real estate
652,13589511,computers and electronics manufacturing
653,80755,it services and it consulting
654,39936,financial services
655,2818145,it services and it consulting
656,837266,staffing and recruiting
657,486877,staffing and recruiting
658,64709762,spectator sports
659,3515924,human resources services
660,210191,design services
661,10407,software development
662,3496670,it services and it consulting
663,81661238,it services and it consulting
664,83545249,consumer services
665,14467750,it services and it consulting
666,18886399,"technology, information and internet"
667,1835,insurance
668,1811083,retail
669,67248370,airlines and aviation
670,1970,banking
671,400528,software development
672,1935,software development
673,164336,insurance
674,13647,oil and gas
675,2145,it services and it consulting
676,3656175,accounting
677,6536,software development
678,89926070,it services and it consulting
679,1007957,defense and space manufacturing
680,86300301,truck transportation
681,4897,it services and it consulting
682,1594730,it services and it consulting
683,3113948,staffing and recruiting
684,101414239,design services
685,35372,software development
686,6837,banking
687,2068675,hospitals
688,2777254,it services and it consulting
689,6381258,it services and it consulting
690,3880175,software development
691,32987,retail
692,117023,financial services
693,164798,financial services
694,77065,staffing and recruiting
695,5573,financial services
696,5770,telecommunications
697,157327,insurance
698,79152003,advertising services
699,3012,financial services
700,151896,software development
701,582961,business consulting and services
702,4013,non-profit organizations
703,1784,business consulting and services
704,1035,software development
705,14850572,broadcast media production and distribution
706,9458521,computer and network security
707,35563359,it services and it consulting
708,2139901,software development
709,5339590,staffing and recruiting
710,163864,retail
711,1948419,human resources services
712,10442437,truck transportation
713,28788105,environmental services
714,12602237,software development
715,2354861,professional services
716,3133234,staffing and recruiting
717,3333693,staffing and recruiting
718,74833856,it services and it consulting
719,77159,staffing and recruiting
720,2700969,staffing and recruiting
721,18046493,financial services
722,8367,it services and it consulting
723,26558618,staffing and recruiting
724,18601896,civil engineering
725,2256850,software development
726,10127,it services and it consulting
727,29448,staffing and recruiting
728,27837,food and beverage services
729,449134,government administration
730,164238,retail
731,64990831,defense and space manufacturing
732,1155857,non-profit organizations
733,108396,software development
734,3811439,computer games
735,164881,government administration
736,125863,retail
737,5269407,staffing and recruiting
738,166387,non-profit organizations
739,1412,defense and space manufacturing
740,1326418,non-profit organizations
741,42355938,"transportation, logistics, supply chain and storage"
742,71882,civil engineering
743,11695727,aviation and aerospace component manufacturing
744,101966662,it services and it consulting
745,166751,hospitals
746,102661,it services and it consulting
747,19557,staffing and recruiting
748,429838,software development
749,2963249,financial services
750,71045988,it services and it consulting
751,204445,advertising services
752,2254301,it services and it consulting
753,70514587,personal care product manufacturing
754,737010,motor vehicle manufacturing
755,2370464,nanotechnology research
