,Company ID,Industry
0,51735,biotechnology research
1,679786,software development
2,164632,it services and it consulting
3,2340445,business consulting and services
4,1122566,wholesale
5,57028,advertising services
6,238180,software development
7,466138,travel arrangements
8,53408,spectator sports
9,2259826,software development
10,2799115,advertising services
11,222908,staffing and recruiting
12,1630926,"technology, information and internet"
13,833963,consumer services
14,3210905,software development
15,2806250,advertising services
16,2423570,software development
17,113090,law practice
18,10640,higher education
19,3026823,software development
20,1952455,it services and it consulting
21,361843,advertising services
22,1707135,higher education
23,245476,e-learning providers
24,2801514,it services and it consulting
25,2761232,staffing and recruiting
26,7583,higher education
27,39489,advertising services
28,796842,motor vehicle manufacturing
29,2652762,"technology, information and internet"
30,1133571,it services and it consulting
31,73387,retail
32,2844111,it services and it consulting
33,2237456,software development
34,2419115,it services and it consulting
35,143728,online audio and video media
36,4996790,design services
37,43480,retail
38,13332,higher education
39,3158447,it services and it consulting
40,15876,e-learning providers
41,ibm,it services and it consulting
42,240875,entertainment providers
43,82844,manufacturing
44,2159124,"technology, information and internet"
45,1376097,software development
46,23618,software development
47,33751,software development
48,2985116,government administration
49,2112001,entertainment providers
50,511568,it services and it consulting
51,1901026,software development
52,3537809,it services and it consulting
53,103976,telecommunications
54,394243,computer games
55,2325428,it services and it consulting
56,566404,"technology, information and internet"
57,482440,motor vehicle manufacturing
58,163813,telecommunications
59,80855,market research
60,162538,retail
61,791419,oil and gas
62,229834,government administration
63,2198454,aviation and aerospace component manufacturing
64,2204309,it services and it consulting
65,1667101,non-profit organizations
66,2873870,security and investigations
67,48811,business consulting and services
68,47298,higher education
69,5373,software development
70,2997308,banking
71,6967,software development
72,2362723,"technology, information and internet"
73,65195,staffing and recruiting
74,217884,design services
75,61153,insurance
76,3153066,individual and family services
77,134951,food and beverage manufacturing
78,566708,staffing and recruiting
79,1375917,design services
80,287677,machinery manufacturing
81,2502258,staffing and recruiting
82,2832833,advertising services
83,404206,staffing and recruiting
84,2564,biotechnology research
85,400078,manufacturing
86,9650,retail
87,17105,oil and gas
88,3609946,higher education
89,2756320,market research
90,2616722,pharmaceutical manufacturing
91,talentsquare,human resources services
92,2918,retail
93,446435,retail
94,precept,insurance
95,energy,government administration
96,14758,non-profit organizations
97,23273,higher education
98,518627,retail
99,1746550,software development
100,73660,mining
101,1087174,computer games
102,1376946,higher education
103,32097,information services
104,245448,"transportation, logistics, supply chain and storage"
105,2232644,it services and it consulting
106,585273,software development
107,113996,financial services
108,857201,it services and it consulting
109,563528,education administration programs
110,311537,higher education
111,3767593,real estate
112,15794,software development
113,2255497,it services and it consulting
114,2810685,software development
115,950281,biotechnology research
116,1177928,it services and it consulting
117,2930775,retail
118,3192913,software development
119,682766,advertising services
120,563554,software development
121,1304455,it services and it consulting
122,43853,manufacturing
123,722122,it services and it consulting
124,164786,hospitals and health care
125,761233,retail office equipment
126,31704,"museums, historical sites, and zoos"
127,1207644,advertising services
128,5277420,information services
129,15067,design services
130,547432,staffing and recruiting
131,1054319,advertising services
132,censio,it services and it consulting
133,2709230,advertising services
134,318488,law practice
135,22407,it services and it consulting
136,17673,software development
137,764729,book and periodical publishing
138,1270780,advertising services
139,1362924,software development
140,adgoji,advertising services
141,1832401,it services and it consulting
142,46625,paper and forest product manufacturing
143,5196521,construction
144,1092302,gambling facilities and casinos
145,526765,"technology, information and internet"
146,3043815,telecommunications
147,325880,advertising services
148,5196466,truck transportation
149,3218522,staffing and recruiting
150,349886,telecommunications
151,3351754,online audio and video media
152,833727,e-learning providers
153,50833,advertising services
154,1488961,it services and it consulting
155,143780,retail luxury goods and jewelry
156,40044,facilities services
157,70343,advertising services
158,5140685,banking
159,856293,it services and it consulting
160,2660395,financial services
161,162319,airlines and aviation
162,3014582,financial services
163,2890283,it services and it consulting
164,166718,financial services
165,26482,biotechnology research
166,36239,"technology, information and internet"
167,5075828,computer networking products
168,2459900,graphic design
169,2286510,international affairs
170,3244823,it services and it consulting
171,166954,business consulting and services
172,2294775,it services and it consulting
173,102736,financial services
174,1026312,software development
175,zancorp,financial services
176,510179,insurance
177,1491729,software development
178,233137,advertising services
179,3281967,hospitals and health care
180,13478,higher education
181,165390,international affairs
182,2281833,business consulting and services
183,112027,advertising services
184,1075944,e-learning providers
185,550810,truck transportation
186,891906,human resources services
187,510446,non-profit organizations
188,2331601,it services and it consulting
189,960609,information services
190,1539604,it services and it consulting
191,1722667,hospitals and health care
192,209086,advertising services
193,2359085,wellness and fitness services
194,74575558,"appliances, electrical, and electronics manufacturing"
195,3544925,advertising services
196,314704,it services and it consulting
197,468436,advertising services
198,24301,hospitals and health care
199,2482741,travel arrangements
200,2853629,retail
201,164455,it services and it consulting
202,839385,software development
203,1765123,religious institutions
204,428169,software development
205,10360,it services and it consulting
206,17330,retail
207,1097060,it services and it consulting
208,1038404,wellness and fitness services
209,3153071,furniture and home furnishings manufacturing
210,agoda,software development
211,722441,motor vehicle manufacturing
212,553234,renewable energy semiconductor manufacturing
213,51626,it services and it consulting
214,1430,it services and it consulting
215,3601307,financial services
216,3239378,it services and it consulting
217,1027847,staffing and recruiting
218,134353,it services and it consulting
219,81315,events services
220,1046786,it services and it consulting
221,5116121,staffing and recruiting
222,1940962,"technology, information and internet"
223,19724,musicians
224,201287,education administration programs
225,69363,it services and it consulting
226,573337,software development
227,40987,advertising services
228,2553229,software development
229,32774,it services and it consulting
230,631987,advertising services
231,103527,it services and it consulting
232,911080,higher education
233,1622107,wellness and fitness services
234,2548050,law practice
235,164514,it services and it consulting
236,1745746,research services
237,3366182,outsourcing and offshoring consulting
238,20726,"technology, information and internet"
239,3882078,truck transportation
240,222662,it services and it consulting
241,98315,software development
242,359977,software development
243,201664,staffing and recruiting
244,8792,construction
245,20409,non-profit organizations
246,243107,it services and it consulting
247,1152516,financial services
248,6333,banking
249,texaport,it services and it consulting
250,436513,food and beverage services
251,3161462,business consulting and services
252,2826775,non-profit organizations
253,1393575,manufacturing
254,8432,truck transportation
255,3298531,government administration
256,3096765,it services and it consulting
257,33934179,"appliances, electrical, and electronics manufacturing"
258,378736,financial services
259,2492429,it services and it consulting
260,816423,it services and it consulting
261,15149,financial services
262,16503,staffing and recruiting
263,50936,non-profit organizations
264,2696138,software development
265,2624,higher education
266,29944,information services
267,978450,restaurants
268,19929,pharmaceutical manufacturing
269,2476947,mining
270,4997411,it services and it consulting
271,323310,banking
272,2868125,staffing and recruiting
273,audi,motor vehicle manufacturing
274,3089140,software development
275,14807,pharmaceutical manufacturing
276,83652,motor vehicle manufacturing
277,45470,public relations and communications services
278,340784,hospitals and health care
279,101640,oil and gas
280,8193,non-profit organizations
281,446135,restaurants
282,modis,it services and it consulting
283,675991,banking
284,994224,staffing and recruiting
285,35680,biotechnology research
286,7481,truck transportation
287,2934787,manufacturing
288,62735,it services and it consulting
289,386215,retail
290,207796,business consulting and services
291,53707,financial services
292,3031213,religious institutions
293,1745685,hospitals and health care
294,1190424,staffing and recruiting
295,2025941,human resources services
296,1120205,human resources services
297,2120,hospitality
298,124392,staffing and recruiting
299,6810,insurance
300,2068652,business consulting and services
301,1153640,construction
302,2740422,retail luxury goods and jewelry
303,317730,"appliances, electrical, and electronics manufacturing"
304,396333,telecommunications
305,519020,retail
306,466848,advertising services
307,685411,civil engineering
308,374342,printing services
309,78272,it services and it consulting
310,494638,computer and network security
311,5025420,staffing and recruiting
312,7713,financial services
313,1676036,gambling facilities and casinos
314,834673,wholesale building materials
315,325608,government administration
316,49634,architecture and planning
317,123497,food and beverage manufacturing
318,1693963,banking
319,474110,chemical manufacturing
320,1168008,it services and it consulting
321,596483,higher education
322,686375,environmental services
323,1434824,packaging and containers manufacturing
324,1135483,pharmaceutical manufacturing
325,823307,it services and it consulting
326,3279391,research services
327,20038,truck transportation
328,55074,software development
329,132345,financial services
330,3024903,staffing and recruiting
331,915146,it services and it consulting
332,72115,financial services
333,2699285,it services and it consulting
334,1455178,environmental services
335,35047,performing arts
336,27506,retail
337,2314015,staffing and recruiting
338,1361989,food and beverage services
339,32066,accounting
340,109898,human resources services
341,2424780,it services and it consulting
342,1245010,telecommunications
343,3606247,human resources services
344,3328400,hospitality
345,755110,financial services
346,47373,telecommunications
347,8094,higher education
348,117723,it services and it consulting
349,1484440,staffing and recruiting
350,86665,it services and it consulting
351,1467855,it services and it consulting
352,1285645,accounting
353,5104983,it services and it consulting
354,1139456,e-learning providers
355,56975,computer and network security
356,936602,it services and it consulting
357,5971,biotechnology research
358,16174,government administration
359,newcmi,it services and it consulting
360,142706,staffing and recruiting
361,1414699,facilities services
362,8720,staffing and recruiting
363,38046,food and beverage services
364,443898,printing services
365,tyco,security and investigations
366,1465083,staffing and recruiting
367,573695,oil and gas
368,38630,public relations and communications services
369,415524,hospitality
370,3163454,staffing and recruiting
371,21756,manufacturing
372,48257,it services and it consulting
373,244013,machinery manufacturing
374,247257,utilities
375,696318,retail apparel and fashion
376,238752,telecommunications
377,126611,oil and gas
378,2965633,financial services
379,2168893,staffing and recruiting
380,2311586,staffing and recruiting
381,243388,computer and network security
382,54864,maritime transportation
383,5234045,it services and it consulting
384,499045,it services and it consulting
385,5162163,financial services
386,64313,staffing and recruiting
387,confidential,it services and it consulting
388,2867346,staffing and recruiting
389,1329903,e-learning providers
390,40356,mining
391,1947427,advertising services
392,479016,higher education
393,539858,motor vehicle manufacturing
394,15651,wellness and fitness services
395,336085,software development
396,28758,motor vehicle manufacturing
397,478302,international trade and development
398,9699,defense and space manufacturing
399,19779,advertising services
400,26402,software development
401,20965,chemical manufacturing
402,85162,civil engineering
403,249830,pharmaceutical manufacturing
404,68963,software development
405,268278,staffing and recruiting
406,ecom,staffing and recruiting
407,1345,aviation and aerospace component manufacturing
408,53793,manufacturing
409,200283,it services and it consulting
410,52509,it services and it consulting
411,148298,it services and it consulting
412,11498,software development
413,200200,entertainment providers
414,232089,higher education
415,82340,it services and it consulting
416,3272262,"technology, information and internet"
417,37804,hospitals and health care
418,4791492,it services and it consulting
419,343912,hospitals and health care
420,769784,non-profit organizations
421,2193890,software development
422,33928,professional training and coaching
423,3218729,it services and it consulting
424,2353266,entertainment providers
425,809421,hospitals and health care
426,99241,automation machinery manufacturing
427,3066525,business consulting and services
428,293088,wellness and fitness services
429,2404725,staffing and recruiting
430,150070,it services and it consulting
431,1494472,human resources services
432,amey,civil engineering
433,211148,financial services
434,exl,higher education
435,5341343,it services and it consulting
436,37872,retail apparel and fashion
437,3884514,software development
438,212666,software development
439,16326,telecommunications
440,276625,business consulting and services
441,956596,it services and it consulting
442,3278530,staffing and recruiting
443,56707,it services and it consulting
444,872738,it services and it consulting
445,3508210,construction
446,106129,software development
447,126943,software development
448,74630,motor vehicle manufacturing
449,2963106,truck transportation
450,97359,software development
451,9373,telecommunications
452,1716271,advertising services
453,1185071,education administration programs
454,22553,information services
455,147145,software development
456,555495,advertising services
457,1755144,it services and it consulting
458,1348721,it services and it consulting
459,560060,"technology, information and internet"
460,114148,it services and it consulting
461,ashurst,law practice
462,1105374,it services and it consulting
463,912577,software development
464,60645,software development
465,2032775,biotechnology research
466,2110245,software development
467,2009166,advertising services
468,755045,it services and it consulting
469,2066063,advertising services
470,890116,it services and it consulting
471,13086,entertainment providers
472,48446,design services
473,1228238,financial services
474,138673,it services and it consulting
475,490852,advertising services
476,640697,architecture and planning
477,743801,software development
478,5093500,it services and it consulting
479,417369,e-learning providers
480,3315906,financial services
481,506328,it services and it consulting
482,109252,non-profit organizations
483,1364579,advertising services
484,133969,business consulting and services
485,905023,software development
486,1449060,non-profit organizations
487,21528,higher education
488,1486302,advertising services
489,40486,financial services
490,2990594,it services and it consulting
491,5359852,"technology, information and internet"
492,1656777,design services
493,839460,printing services
494,163590,software development
495,1017107,hospitality
496,1967036,spectator sports
497,2080461,business consulting and services
498,1025637,mining
499,2774642,it services and it consulting
500,1525290,financial services
501,265660,it services and it consulting
502,1691798,information services
503,535481,it services and it consulting
504,721667,book and periodical publishing
505,381531,architecture and planning
506,2189492,pharmaceutical manufacturing
507,1189312,advertising services
508,136761,software development
509,1301220,design services
510,246832,research services
511,3124181,software development
512,5044136,software development
513,1168223,telecommunications
514,1002144,printing services
515,74378,spectator sports
516,gscf,non-profit organizations
517,5359125,software development
518,3501653,software development
519,3529211,government administration
520,239036,it services and it consulting
521,1399915,hospitals and health care
522,1795380,business consulting and services
523,116425,advertising services
524,150904,telecommunications
525,439922,shipbuilding
526,356221,book and periodical publishing
527,963414,e-learning providers
528,72293,manufacturing
529,27361,software development
530,327942,it services and it consulting
531,2555615,"technology, information and internet"
532,3794158,"technology, information and internet"
533,2599080,retail
534,3276191,software development
535,1705739,utilities
536,3208404,business consulting and services
537,110007,business consulting and services
538,2631876,architecture and planning
539,3213305,advertising services
540,1007162,musicians
541,34777,retail
542,1003417,online audio and video media
543,65929,motor vehicle manufacturing
544,42273,telecommunications
545,122697,primary and secondary education
546,3079030,it services and it consulting
547,63338,farming
548,2756754,software development
549,2311968,software development
550,2812971,spectator sports
551,12639,advertising services
552,1392794,software development
553,610691,it services and it consulting
554,5347132,travel arrangements
555,16001,higher education
556,271679,defense and space manufacturing
557,608932,software development
558,5341516,it services and it consulting
559,3066837,it services and it consulting
560,733537,advertising services
561,804706,hospitals and health care
562,807196,it services and it consulting
563,2596790,"technology, information and internet"
564,7909,it services and it consulting
565,3321101,defense and space manufacturing
566,644849,consumer services
567,2490314,financial services
568,3014841,software development
569,2137195,business consulting and services
570,2066749,"glass, ceramics and concrete manufacturing"
571,551459,medical equipment manufacturing
572,2907294,software development
573,27679,design services
574,119966,advertising services
575,2582721,advertising services
576,3524188,higher education
577,2307163,"technology, information and internet"
578,3096335,software development
579,3217023,business consulting and services
580,2360778,advertising services
581,22604,higher education
582,5229817,it services and it consulting
583,89420,telecommunications
584,1551516,personal care product manufacturing
585,2993723,entertainment providers
586,9072,software development
587,5338668,telecommunications
588,3027660,business consulting and services
589,1274897,real estate
590,2714143,"technology, information and internet"
591,2616935,advertising services
592,117701,advertising services
593,117175,executive offices
594,131872,it services and it consulting
595,1741257,software development
596,1028078,textile manufacturing
597,51756,telecommunications
598,83840,education administration programs
599,136315,software development
600,2341236,pharmaceutical manufacturing
601,3680,telecommunications
602,9193,media production
603,540187,it services and it consulting
604,2375321,software development
605,458015,it services and it consulting
606,5069744,software development
607,984353,automation machinery manufacturing
608,2398614,retail office equipment
609,3344182,software development
610,165736,real estate
611,1151069,travel arrangements
612,3282992,advertising services
613,2620060,travel arrangements
614,1037961,it services and it consulting
615,5148086,media production
616,220644,software development
617,744463,retail
618,500928,"transportation, logistics, supply chain and storage"
619,6865,higher education
620,1472172,education administration programs
621,287773,advertising services
622,17154,media production
623,2307297,civil engineering
624,82339,retail
625,2885874,software development
626,41352,advertising services
627,920032,medical equipment manufacturing
628,1073846,it services and it consulting
629,2754280,staffing and recruiting
630,3163732,software development
631,1328846,software development
632,1070547,construction
633,127333,retail apparel and fashion
634,355792,software development
635,100064,it services and it consulting
636,224612,non-profit organizations
637,106980,retail apparel and fashion
638,157227,maritime transportation
639,31724,non-profit organizations
640,5184282,e-learning providers
641,1323,research services
642,9311,book and periodical publishing
643,110988,software development
644,1289336,software development
645,4873903,software development
646,51331,software development
647,7525,telecommunications
648,41642,software development
649,softtek,it services and it consulting
650,1966276,financial services
651,52515,education administration programs
652,19850,higher education
653,33482,non-profit organizations
654,852804,staffing and recruiting
655,271541,retail
656,24206,telecommunications
657,29617,design services
658,6414,manufacturing
659,912527,higher education
660,636764,business consulting and services
661,1258712,medical equipment manufacturing
662,1035910,telecommunications
663,ebay,software development
664,303029,wholesale building materials
665,349873,broadcast media production and distribution
666,219573,design services
667,43034,hospitality
668,61795,staffing and recruiting
669,1104174,it services and it consulting
670,556627,advertising services
671,1004390,software development
672,2986796,banking
673,23576,education administration programs
674,231127,staffing and recruiting
675,11998,software development
676,843081,advertising services
677,831651,banking
678,3622921,software development
679,1776559,financial services
680,474428,truck transportation
681,1707333,it services and it consulting
682,238105,oil and gas
683,15505,financial services
684,2589161,motor vehicle manufacturing
685,819546,travel arrangements
686,2785909,it services and it consulting
687,1341572,advertising services
688,4833,computers and electronics manufacturing
689,35108,tobacco manufacturing
690,5062412,hospitals and health care
691,22243,"appliances, electrical, and electronics manufacturing"
692,2287440,it services and it consulting
693,708676,retail
694,1680735,construction
695,wellpoint,insurance
696,3747,entertainment providers
697,39552,retail apparel and fashion
698,288478,venture capital and private equity principals
699,492527,research services
700,3090915,software development
701,391436,software development
702,1416071,human resources services
703,2641341,advertising services
704,utilligent,business consulting and services
705,3656494,it services and it consulting
706,72442,wireless services
707,15870,utilities
708,3186,advertising services
709,14765,manufacturing
710,39923,semiconductor manufacturing
711,2469974,computers and electronics manufacturing
712,1898310,business consulting and services
713,29460,it services and it consulting
714,4940,it services and it consulting
715,30316,it services and it consulting
716,vce,it services and it consulting
717,8744,motor vehicle manufacturing
718,3090479,advertising services
719,2466484,non-profit organizations
720,daqri,computer hardware manufacturing
721,2302228,staffing and recruiting
722,411881,it services and it consulting
723,85506,it services and it consulting
724,5845,industrial machinery manufacturing
725,2709570,advertising services
726,163928,retail apparel and fashion
727,33807,"technology, information and internet"
728,emc,business consulting and services
729,708622,it services and it consulting
730,162205,non-profit organizations
731,32497,it services and it consulting
732,163910,renewable energy semiconductor manufacturing
733,1448242,"technology, information and internet"
734,92603,hospitals and health care
735,loewen,wholesale building materials
736,35670,telecommunications
737,322362,staffing and recruiting
738,3637793,events services
739,9788,oil and gas
740,285278,advertising services
741,2437031,real estate
742,2898009,"technology, information and internet"
743,238509,architecture and planning
744,3017944,software development
745,131846,investment management
746,epsilon,advertising services
747,1872833,non-profit organizations
748,70485,computer games
749,313409,hospitals and health care
750,2705656,it services and it consulting
751,2610103,public relations and communications services
752,1108840,truck transportation
753,437069,media production
754,40446,software development
755,2474869,"technology, information and internet"
756,123105,recreational facilities
757,34537,non-profit organizations
758,65428,software development
759,2631778,software development
760,5116930,software development
761,3104808,software development
762,1076974,oil and gas
763,52141,software development
764,1157322,design services
765,3080663,higher education
766,globys,software development
767,18841,software development
768,3691187,software development
769,5186527,advertising services
770,380705,computer games
771,826934,software development
772,467195,staffing and recruiting
773,210884,insurance
774,1922205,it services and it consulting
775,138866,truck transportation
776,32346,hospitals and health care
777,628157,staffing and recruiting
778,413349,events services
779,aol,software development
780,54233,it services and it consulting
781,2895393,software development
782,111004,business consulting and services
783,3545422,software development
784,1795179,staffing and recruiting
785,243238,retail
786,2766625,advertising services
787,1111921,banking
788,156620,software development
789,3615172,it services and it consulting
790,15077,design services
791,25753,law practice
792,164156,hospitals and health care
793,synopsys,software development
794,652430,oil and gas
795,164590,machinery manufacturing
796,456018,"technology, information and internet"
797,209153,retail
798,2522960,environmental services
799,1818107,software development
800,144284,it services and it consulting
801,97819,food and beverage manufacturing
802,46221,staffing and recruiting
803,dressbarn,retail
804,107779,non-profit organizations
805,3113627,entertainment providers
806,44953,"technology, information and internet"
807,edventure,education administration programs
808,2585535,staffing and recruiting
809,twitter,software development
810,2995378,staffing and recruiting
811,150053,broadcast media production and distribution
812,956036,"technology, information and internet"
813,652214,staffing and recruiting
