Company ID,Industry
2692410,software development
3075405,software development
3065197,food and beverage manufacturing
13181517,real estate
468174,it services and it consulting
1471781,it services and it consulting
15076785,staffing and recruiting
3960574,computers and electronics manufacturing
5133905,financial services
35717,computers and electronics manufacturing
5239418,biotechnology research
3088288,advertising services
17939614,it services and it consulting
10023541,software development
personas,professional training and coaching
5302419,software development
99488,human resources services
368400,it services and it consulting
zillow,real estate
157358,utilities
2026904,it services and it consulting
progressive,market research
harnham,staffing and recruiting
2695505,it services and it consulting
156660,it services and it consulting
78142,higher education
3136402,business consulting and services
8335312,education administration programs
pwc,it services and it consulting
hudson,staffing and recruiting
5459762,staffing and recruiting
5133656,wellness and fitness services
250378,information services
cybercoders,staffing and recruiting
152221,primary and secondary education
2080773,primary and secondary education
2198924,"technology, information and internet"
23032,facilities services
3039644,chemical manufacturing
25867,software development
1151065,mental health care
2303008,it services and it consulting
30895,it services and it consulting
3191487,software development
561792,it services and it consulting
3635425,it services and it consulting
10820215,spectator sports
727380,it services and it consulting
3490460,education administration programs
8216975,business consulting and services
81562,international trade and development
1176132,e-learning providers
8492224,it services and it consulting
5048039,business consulting and services
2565844,software development
13032,higher education
2324797,software development
9506181,government administration
392476,recreational facilities
1158149,wellness and fitness services
2933268,staffing and recruiting
2633739,higher education
1105781,higher education
2575066,human resources services
5577511,software development
5113924,staffing and recruiting
20767,research services
5014726,software development
9187630,computer and network security
565502,it services and it consulting
6612883,it services and it consulting
7615,financial services
583253,"transportation, logistics, supply chain and storage"
51966,chemical manufacturing
3608153,it services and it consulting
165190,insurance
capco,financial services
hays,staffing and recruiting
3998097,real estate
482944,law practice
51492,it services and it consulting
4793290,real estate
adecco,staffing and recruiting
2526756,software development
71298,food and beverage manufacturing
9504215,it services and it consulting
2238241,staffing and recruiting
104179,it services and it consulting
2683897,staffing and recruiting
eduroof.com,education administration programs
1714569,it services and it consulting
2650526,it services and it consulting
5389632,human resources services
17824,machinery manufacturing
166340,higher education
8822250,motor vehicle manufacturing
892792,law practice
5141862,advertising services
3078387,human resources services
869077,computer and network security
10166334,human resources services
27725,industrial machinery manufacturing
10089402,insurance
1324240,mining
2301582,airlines and aviation
13200048,it services and it consulting
373395,international trade and development
1762777,hospitals and health care
28981,software development
75848,hospitals and health care
3347784,hospitals and health care
10070879,it services and it consulting
446760,staffing and recruiting
147450,higher education
6394795,telecommunications
821128,human resources services
4125999,financial services
1168919,hospitals and health care
sunfill,food and beverage manufacturing
200955,it services and it consulting
447744,it services and it consulting
445878,government administration
8395086,oil and gas
15346,government administration
missioneo,retail office equipment
2630589,human resources services
389256,staffing and recruiting
1224207,non-profit organizations
7106,book and periodical publishing
163969,software development
874106,hospitals and health care
3574996,advertising services
3657133,non-profit organizations
17903383,it services and it consulting
61079,real estate
408903,e-learning providers
7944947,wellness and fitness services
2117361,nanotechnology research
honeywell,"appliances, electrical, and electronics manufacturing"
salt,staffing and recruiting
9260459,software development
3122460,software development
7587675,outsourcing and offshoring consulting
2477913,financial services
6425551,software development
206116,advertising services
3020755,advertising services
15129,airlines and aviation
16202534,it services and it consulting
2208617,broadcast media production and distribution
352586,book and periodical publishing
1371023,it services and it consulting
103966,it services and it consulting
7602867,biotechnology research
661861,construction
725019,software development
6646491,it services and it consulting
3577247,human resources services
18481434,advertising services
2510065,staffing and recruiting
2458498,retail
282709,textile manufacturing
1517567,advertising services
2774766,it services and it consulting
3285341,government administration
6437331,software development
6587396,renewable energy semiconductor manufacturing
100926406,it services and it consulting
124232,food and beverage services
126738,outsourcing and offshoring consulting
301316,it services and it consulting
388547,non-profit organizations
285520,it services and it consulting
2052198,human resources services
230886,human resources services
151161,retail
