,all_data,formattedLocation,country
0,"Greater Florianopolis, Brazil",Greater Florianopolis,Brazil
1,"Pittston, PA, United States","Pittston, PA",United States of America
2,"Millers Point, New South Wales, Australia, Australia","Millers Point, New South Wales, Australia",Australia
3,"City Of Westminster, England, United Kingdom, United Kingdom","City Of Westminster, England, United Kingdom",United Kingdom
4,"Tianjin, China, China","Tianjin, China",China
5,"Bengaluru, Karnataka, India, India","Bengaluru, Karnataka, India",India
6,"Tokyo, Tokyo, Japan, Japan","Tokyo, Tokyo, Japan",Japan
7,"Sakarya, Sakarya, TÃ¼rkiye, TÃ¼rkiye","Sakarya, Sakarya, TÃ¼rkiye",TÃ¼rkiye
8,"Chennai, Tamil Nadu, India, India","Chennai, Tamil Nadu, India",India
9,"Maarssenbroek, Utrecht, Netherlands, Netherlands","Maarssenbroek, Utrecht, Netherlands",Netherlands
10,"Ditzingen, Baden-WÃ¼rttemberg, Germany, Germany","Ditzingen, Baden-WÃ¼rttemberg, Germany",Germany
11,"Dresden, Saxony, Germany, Germany","Dresden, Saxony, Germany",Germany
12,"Copenhagen, Capital Region of Denmark, Denmark, Denmark","Copenhagen, Capital Region of Denmark, Denmark",Denmark
13,"Bracebridge, ON, Canada","Bracebridge, ON",Canada
14,"Greater Manaus, Brazil",Greater Manaus,Brazil
15,"Smithtown, NY, United States","Smithtown, NY",United States of America
16,"Hennigsdorf, Brandenburg, Germany, Germany","Hennigsdorf, Brandenburg, Germany",Germany
17,"Greater Sheffield Area, United Kingdom",Greater Sheffield Area,United Kingdom
18,"Roseville, MI, United States","Roseville, MI",United States of America
19,"Porto, Porto, Portugal, Portugal","Porto, Porto, Portugal",Portugal
20,"Corston, England, United Kingdom, United Kingdom","Corston, England, United Kingdom",United Kingdom
21,"Leigh, England, United Kingdom, United Kingdom","Leigh, England, United Kingdom",United Kingdom
22,"Nepean, ON, Canada","Nepean, ON",Canada
23,"Leigh-On-Sea, England, United Kingdom, United Kingdom","Leigh-On-Sea, England, United Kingdom",United Kingdom
24,"Boulogne-Billancourt, Ãle-de-France, France, France","Boulogne-Billancourt, Ãle-de-France, France",France
25,"Usingen, Hesse, Germany, Germany","Usingen, Hesse, Germany",Germany
26,"TimiÈ, Romania, Romania","TimiÈ, Romania",Romania
27,"Paris, Ãle-de-France, France, France","Paris, Ãle-de-France, France",France
28,"Brussels, Brussels Region, Belgium, Belgium","Brussels, Brussels Region, Belgium",Belgium
29,"Glenroy, Victoria, Australia, Australia","Glenroy, Victoria, Australia",Australia
30,"Gurugram, Haryana, India, India","Gurugram, Haryana, India",India
31,"Nottingham, England, United Kingdom, United Kingdom","Nottingham, England, United Kingdom",United Kingdom
32,"Morris Plains, NJ, United States","Morris Plains, NJ",United States of America
33,"Carlton, England, United Kingdom, United Kingdom","Carlton, England, United Kingdom",United Kingdom
34,"Temple Hills, MD, United States","Temple Hills, MD",United States of America
35,"Nivelles, Walloon Region, Belgium, Belgium","Nivelles, Walloon Region, Belgium",Belgium
36,"Kalmar County, Sweden, Sweden","Kalmar County, Sweden",Sweden
37,"Berlin, WI, United States","Berlin, WI",United States of America
38,"Mumbai, Maharashtra, India, India","Mumbai, Maharashtra, India",India
39,"North Andover, MA, United States","North Andover, MA",United States of America
40,"HÃ¼yÃ¼k, Konya, TÃ¼rkiye, TÃ¼rkiye","HÃ¼yÃ¼k, Konya, TÃ¼rkiye",TÃ¼rkiye
41,"Hoofddorp, North Holland, Netherlands, Netherlands","Hoofddorp, North Holland, Netherlands",Netherlands
42,"Carlton, Victoria, Australia, Australia","Carlton, Victoria, Australia",Australia
43,"Big Lake, TX, United States","Big Lake, TX",United States of America
44,"Hurtmore, England, United Kingdom, United Kingdom","Hurtmore, England, United Kingdom",United Kingdom
45,"Cracow, MaÅopolskie, Poland, Poland","Cracow, MaÅopolskie, Poland",Poland
46,"Munich, Bavaria, Germany, Germany","Munich, Bavaria, Germany",Germany
47,"Hempstead, TX, United States","Hempstead, TX",United States of America
48,"Auckland, Auckland, New Zealand, New Zealand","Auckland, Auckland, New Zealand",New Zealand
49,"Eccles, England, United Kingdom, United Kingdom","Eccles, England, United Kingdom",United Kingdom
50,"Cracow Metropolitan Area, Poland",Cracow Metropolitan Area,Poland
51,"Carbondale, PA, United States","Carbondale, PA",United States of America
52,"Ocean City, MD, United States","Ocean City, MD",United States of America
53,"Pilsen, PlzeÅ, Czechia, Czechia","Pilsen, PlzeÅ, Czechia",Czechia
54,"Jakarta, Jakarta, Indonesia, Indonesia","Jakarta, Jakarta, Indonesia",Indonesia
55,"Scherpenzeel, Gelderland, Netherlands, Netherlands","Scherpenzeel, Gelderland, Netherlands",Netherlands
56,"Ruscombe, England, United Kingdom, United Kingdom","Ruscombe, England, United Kingdom",United Kingdom
57,"DÃ¼sseldorf, North Rhine-Westphalia, Germany, Germany","DÃ¼sseldorf, North Rhine-Westphalia, Germany",Germany
58,"Arnhem-Nijmegen Region, Netherlands",Arnhem-Nijmegen Region,Netherlands
59,"Durham, NH, United States","Durham, NH",United States of America
60,"Greater Nottingham, United Kingdom",Greater Nottingham,United Kingdom
61,"Lugano, Ticino, Switzerland, Switzerland","Lugano, Ticino, Switzerland",Switzerland
62,"Bucharest, Bucharest, Romania, Romania","Bucharest, Bucharest, Romania",Romania
63,"Lehman, PA, United States","Lehman, PA",United States of America
64,"Huddersfield, England, United Kingdom, United Kingdom","Huddersfield, England, United Kingdom",United Kingdom
65,"Edinburgh, Scotland, United Kingdom, United Kingdom","Edinburgh, Scotland, United Kingdom",United Kingdom
66,"Twyford, England, United Kingdom, United Kingdom","Twyford, England, United Kingdom",United Kingdom
67,"Reidsville, NC, United States","Reidsville, NC",United States of America
68,"Longframlington, England, United Kingdom, United Kingdom","Longframlington, England, United Kingdom",United Kingdom
69,"Chillingham, New South Wales, Australia, Australia","Chillingham, New South Wales, Australia",Australia
70,"Greater Guildford Area, United Kingdom",Greater Guildford Area,United Kingdom
71,"Hookwood, England, United Kingdom, United Kingdom","Hookwood, England, United Kingdom",United Kingdom
72,"Storm Lake, IA, United States","Storm Lake, IA",United States of America
73,"South Deerfield, MA, United States","South Deerfield, MA",United States of America
74,"Newcastle Upon Tyne, England, United Kingdom, United Kingdom","Newcastle Upon Tyne, England, United Kingdom",United Kingdom
75,"Noida, Uttar Pradesh, India, India","Noida, Uttar Pradesh, India",India
76,"Elmstone Hardwicke, England, United Kingdom, United Kingdom","Elmstone Hardwicke, England, United Kingdom",United Kingdom
77,"Greater SÃ£o Paulo Area, Brazil",Greater SÃ£o Paulo Area,Brazil
