all_data,formattedLocation,country
"Tel Aviv-Yafo, Tel Aviv District, Israel, Israel","Tel Aviv-Yafo, Tel Aviv District, Israel",Israel
"Blaengwynfi, Wales, United Kingdom, United Kingdom","Blaengwynfi, Wales, United Kingdom",United Kingdom
"Los Angeles, CA, US, US","Los Angeles, CA, US",United States of America
"Spanish Fork, UT, US, US","Spanish Fork, UT, US",United States of America
"Portland, OR, US, US","Portland, OR, US",United States of America
"Decatur, GA, US, US","Decatur, GA, US",United States of America
"Washington, D.C., DC, US, US","Washington, D.C., DC, US",United States of America
"San Jose, CA, US, US","San Jose, CA, US",United States of America
"San Diego, CA, US, US","San Diego, CA, US",United States of America
"Camanche, IA, US, US","Camanche, IA, US",United States of America
"Surbiton, AU, AU","Surbiton, AU",Australia
"Allen County, KS, US, US","Allen County, KS, US",United States of America
"Charlotte, NC, US, US","Charlotte, NC, US",United States of America
"Reston, VA, US, US","Reston, VA, US",United States of America
"Dallas, TX, US, US","Dallas, TX, US",United States of America
"New York City, NY, US, US","New York City, NY, US",United States of America
"Boston, MA, US, US","Boston, MA, US",United States of America
"Austin, TX, US, US","Austin, TX, US",United States of America
"Philadelphia, PA, US, US","Philadelphia, PA, US",United States of America
"Redwood City, CA, US, US","Redwood City, CA, US",United States of America
"Chicago, IL, US, US","Chicago, IL, US",United States of America
"Montville, NJ, US, US","Montville, NJ, US",United States of America
"Houston, TX, US, US","Houston, TX, US",United States of America
"Round Hill, VA, US, US","Round Hill, VA, US",United States of America
"Peppermill Reno Hotel Casino, NV, US, US","Peppermill Reno Hotel Casino, NV, US",United States of America
"Chocowinity, NC, US, US","Chocowinity, NC, US",United States of America
"Andover, MN, US, US","Andover, MN, US",United States of America
"Alexandria, VA, US, US","Alexandria, VA, US",United States of America
"KolhÄ\u0081pur, IN, IN","KolhÃ„Âpur, IN",India
"Denver, CO, US, US","Denver, CO, US",United States of America
"Fort Meade, MD, US, US","Fort Meade, MD, US",United States of America
"Loveland, OH, US, US","Loveland, OH, US",United States of America
"Sunnyvale, CA, US, US","Sunnyvale, CA, US",United States of America
"AraranguÃ¡, BR, BR","AraranguÃƒÂ¡, BR",Brazil
"Forest, VA, US, US","Forest, VA, US",United States of America
"Texas City, TX, US, US","Texas City, TX, US",United States of America
"Erie, CO, US, US","Erie, CO, US",United States of America
"Telford, TF3, GB, GB","Telford, TF3, GB",United Kingdom
"Norwich, NR2, GB, GB","Norwich, NR2, GB",United Kingdom
"Virginia Beach, VA 23450, US, US","Virginia Beach, VA 23450, US",United States of America
"TimiÅŸoara, 300001, RO, RO","TimiÃ…ÂŸoara, 300001, RO",Romania
"Fort Meade, MD 20755, US, US","Fort Meade, MD 20755, US",United States of America
"Thiruvananthapuram, 695004, IN, IN","Thiruvananthapuram, 695004, IN",India
"Bangalore, 560029, IN, IN","Bangalore, 560029, IN",India
"Pune, 411028, IN, IN","Pune, 411028, IN",India
"Mumbai, 400001, IN, IN","Mumbai, 400001, IN",India
"Kings Mountain, NC, US, US","Kings Mountain, NC, US",United States of America
"Perry Hall, MD, US, US","Perry Hall, MD, US",United States of America
"Hampton, SC, US, US","Hampton, SC, US",United States of America
"Santa Clara, CA 95050, US, US","Santa Clara, CA 95050, US",United States of America
"San Anselmo, CA, US, US","San Anselmo, CA, US",United States of America
"Tres Pinos, CA, US, US","Tres Pinos, CA, US",United States of America
"Pittsburg, CA, US, US","Pittsburg, CA, US",United States of America
"Summitview, WA, US, US","Summitview, WA, US",United States of America
"Richmond, TX, US, US","Richmond, TX, US",United States of America
"Stowe, VT, US, US","Stowe, VT, US",United States of America
"Newton Grove, NC, US, US","Newton Grove, NC, US",United States of America
"Emporia, VA, US, US","Emporia, VA, US",United States of America
"Orlando, FL, US, US","Orlando, FL, US",United States of America
"Nike Site SF-87C (historical), CA, US, US","Nike Site SF-87C (historical), CA, US",United States of America
"Detroit, MI, US, US","Detroit, MI, US",United States of America
"Westerham, ZA, ZA","Westerham, ZA",South Africa
"South Shields, GB, GB","South Shields, GB",United Kingdom
"Saint Andrews, GB, GB","Saint Andrews, GB",United Kingdom
"Minden, NV, US, US","Minden, NV, US",United States of America
"Corning, NY, US, US","Corning, NY, US",United States of America
"Ãlvaro ObregÃ³n, MX, MX","ÃƒÂlvaro ObregÃƒÂ³n, MX",Mexico
"GÃ¼tersloh, DE, DE","GÃƒÂ¼tersloh, DE",Germany
"Subiaco, AU, AU","Subiaco, AU",Australia
"Fredericksburg, TX, US, US","Fredericksburg, TX, US",United States of America
"Paoli, PA, US, US","Paoli, PA, US",United States of America
"Branchville, NJ, US, US","Branchville, NJ, US",United States of America
"Menlo Park, CA, US, US","Menlo Park, CA, US",United States of America
"Port-Harcourt, NG, NG","Port-Harcourt, NG",Nigeria
"Hartford City, IN, US, US","Hartford City, IN, US",United States of America
"Adana, TR, TR","Adana, TR",Turkey
"Tamale, GH, GH","Tamale, GH",Ghana
"Takoradi, GH, GH","Takoradi, GH",Ghana
"Wuxi, 214031, CN, CN","Wuxi, 214031, CN",China
"Portage, WI, US, US","Portage, WI, US",United States of America
"Tamale, 99999, GH, GH","Tamale, 99999, GH",Ghana
"Kumasi, 99999, GH, GH","Kumasi, 99999, GH",Ghana
"Redruth, TR16, GB, GB","Redruth, TR16, GB",United Kingdom
"Ringwood, AU, AU","Ringwood, AU",Australia
"Collaroy, AU, AU","Collaroy, AU",Australia
"Epping, AU, AU","Epping, AU",Australia
"Tampere, FI, FI","Tampere, FI",Finland
"Slip End, England, United Kingdom, United Kingdom","Slip End, England, United Kingdom",United Kingdom
"Norwood, South Australia, Australia, Australia","Norwood, South Australia, Australia",Australia
"Brunn am Gebirge, Lower Austria, Austria, Austria","Brunn am Gebirge, Lower Austria, Austria",Austria
"Ankara, Ankara, TÃ¼rkiye, TÃ¼rkiye","Ankara, Ankara, TÃƒÂ¼rkiye",TÃ¼rkiye
"Ramot HaShavim, Center District, Israel, Israel","Ramot HaShavim, Center District, Israel",Israel
"Congleton, England, United Kingdom, United Kingdom","Congleton, England, United Kingdom",United Kingdom
"Kokonga, Otago, New Zealand, New Zealand","Kokonga, Otago, New Zealand",New Zealand
"Yamato, Kanagawa, Japan, Japan","Yamato, Kanagawa, Japan",Japan
"Alpharetta, GA, US, US","Alpharetta, GA, US",United States of America
"Wadsworth, OH, US, US","Wadsworth, OH, US",United States of America
"Grafton, WI, US, US","Grafton, WI, US",United States of America
"GarcÃ­a, MX, MX","GarcÃƒÂ­a, MX",Mexico
"Great Yarmouth, GB, GB","Great Yarmouth, GB",United Kingdom
"Niantic, CT, US, US","Niantic, CT, US",United States of America
"Lexington Park, MD, US, US","Lexington Park, MD, US",United States of America
"Williamtown, AU, AU","Williamtown, AU",Australia
"Las Vegas, NV, US, US","Las Vegas, NV, US",United States of America
"Princeton, NJ, US, US","Princeton, NJ, US",United States of America
"Berlin, CT, US, US","Berlin, CT, US",United States of America
"Medina, OH, US, US","Medina, OH, US",United States of America
"Charlotte, AR, US, US","Charlotte, AR, US",United States of America
"Fort McMurray, CA, CA","Fort McMurray, CA",United States of America
"Kirtland Air Force Base, NM, US, US","Kirtland Air Force Base, NM, US",United States of America
"Waterloo, IN, US, US","Waterloo, IN, US",United States of America
"Woodbridge, CA, US, US","Woodbridge, CA",United States of America
"Zenia, CA, US, US","Zenia, CA, US",United States of America
"Fort St. John, CA, CA","Fort St. John, CA",United States of America
"Å˜Ã­Äany, CZ, CZ","Ã…Â˜ÃƒÂ­Ã„Âany, CZ",Czech Republic
"BraÅŸov, RO, RO","BraÃ…ÂŸov, RO",Romania
"Beersheba, IL, IL","Beersheba, IL",Israel
"Alexandria, LA, US, US","Alexandria, LA, US",United States of America
"Beulah, ND, US, US","Beulah, ND, US",United States of America
"Rothesay, CA, CA","Rothesay, CA",United States of America
"Goodwood, CA, CA","Goodwood, CA",United States of America
"Toledo, ES, ES","Toledo, ES",Spain
"Chatham, GB, GB","Chatham, GB",United Kingdom
"Linz, AT, AT","Linz, AT",Austria
"Uruguay, UY, UY","Uruguay, UY",Uruguay
"Palo Alto, CA, US, US","Palo Alto, CA, US",United States of America
"George, IA, US, US","George, IA, US",United States of America
"San Mateo, CA, US, US","San Mateo, CA, US",United States of America
"Zachary, LA, US, US","Zachary, LA, US",United States of America
"Winchester, KY, US, US","Winchester, KY, US",United States of America
"California City, CA, US, US","California City, CA, US",United States of America
"Belleville, IL, US, US","Belleville, IL, US",United States of America
"Forrest, AU, AU","Forrest, AU",Australia
"Carrboro, NC, US, US","Carrboro, NC, US",United States of America
"Greenwood, IL, US, US","Greenwood, IL, US",United States of America
"Pawtucket, RI, US, US","Pawtucket, RI, US",United States of America
"Sopot, PL, PL","Sopot, PL",Poland
"Sydney, Australia, Australia","Sydney, Australia",Australia
"Barquisimeto, VE, VE","Barquisimeto, VE",Venezuela
"Westlake Village, CA, US, US","Westlake Village,CA,US",United States of America
"Brownsville, TX, US, US","Brownsville, TX, US",United States of America
"City of Westminster, GB, GB","City of Westminster, GB",United Kingdom
"Falmouth, GB, GB","Falmouth, GB",United Kingdom
"Santa Fe, MX, MX","Santa Fe, MX",Mexico
"Mulhurddart, IE, IE","Mulhurddart, IE",Ireland
"Montevideo, UY, UY","Montevideo, UY",Uruguay
"Fort George, GB, GB","Fort George, GB",United Kingdom
"Warrenton, MO, US, US","Warrenton, MO, US",United States of America
"Sligo, IE, IE","Sligo, IE",Ireland
"Whitehaven, GB, GB","Whitehaven, GB",United Kingdom
"Los Gatos, CA, US, US","Los Gatos, CA, US",United States of America
"South Houston, TX, US, US","South Houston, TX, US",United States of America
"Highland, CA, US, US","Highland, CA, US",United States of America
"Denmark, IN, US, US","Denmark, IN, US",United States of America
"Morpeth, GB, GB","Morpeth, GB",United Kingdom
"Sheboygan, WI, US, US","Sheboygan, WI, US",United States of America
"Barrington, ZA, ZA","Barrington, ZA",South Africa
"Santander, ES, ES","Santander, ES",Spain
"Wellingborough, GB, GB","Wellingborough, GB",United Kingdom
"Farmers Branch, TX, US, US","Farmers Branch, TX, US",United States of America
"Provincie West-Vlaanderen, BE, BE","Provincie West-Vlaanderen, BE",Belgium
"Kuurne, BE, BE","Kuurne, BE",Belgium
"LÃ¼nen, DE, DE","LÃƒÂ¼nen, DE",Germany
"Green Valley, AZ, US, US","Green Valley, AZ, US",United States of America
"Newcastle, ZA, ZA","Newcastle, ZA",South Africa
"Shrewsbury, NJ, US, US","Shrewsbury, NJ, US",United States of America
